Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein MYCGRDRAFT_94966 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,282,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003850492.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003850492.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1A5],Zymoseptoria tritici ST99CH_1A5,0.0,97.56,287,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMY26750.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMY26750.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,0.0,97.22,288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ53119.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMQ53119.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,0.0,97.21,287,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR56705.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""SMR56705.1"")"
hypothetical protein TI39_contig5905g00006 [Zymoseptoria brevis],Zymoseptoria brevis,7e-149,86.81,288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJX92150.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""KJX92150.1"")"
uncharacterized protein LTR77_008025 [Saxophila tyrrhenica],Saxophila tyrrhenica,1e-101,58.15,273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_064656364.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""XP_064656364.1"")"
hypothetical protein LTR37_008048 [Vermiconidia calcicola],Vermiconidia calcicola,5e-99,59.56,290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK3714019.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""KAK3714019.1"")"
hypothetical protein PRZ48_007196 [Zasmidium cellare],Zasmidium cellare,2e-97,62.64,287,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK4501387.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""KAK4501387.1"")"
uncharacterized protein MYCFIDRAFT_215654 [Pseudocercospora fijiensis CIRAD86],Pseudocercospora fijiensis CIRAD86,3e-96,58.25,292,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007927731.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""XP_007927731.1"")"
hypothetical protein Slin14017_G047300 [Septoria linicola],Septoria linicola,3e-95,62.11,298,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI5364840.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""KAI5364840.1"")"



		


