Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein MYCGRDRAFT_74536 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003849948.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003849948.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1A5],Zymoseptoria tritici ST99CH_1A5,0.0,98.83,512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMY26805.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMY26805.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,0.0,98.83,512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ53172.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMQ53172.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,0.0,98.44,512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR56758.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""SMR56758.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,0.0,97.86,514,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR59612.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""SMR59612.1"")"
glutathione synthetase like protein [Zymoseptoria brevis],Zymoseptoria brevis,0.0,95.91,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJX98442.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""KJX98442.1"")"
related to glutathione synthase [Ramularia collo-cygni],Ramularia collo-cygni,0.0,86.08,510,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023628847.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""XP_023628847.1"")"
Glutathione synthetase [Lecanosticta acicola],Lecanosticta acicola,0.0,81.87,512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAK3936935.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""CAK3936935.1"")"
hypothetical protein CERZMDRAFT_42273 [Cercospora zeae-maydis SCOH1-5],Cercospora zeae-maydis SCOH1-5,0.0,81.48,512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF2212070.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""KAF2212070.1"")"
"Putative glutathione synthase, substrate-binding domain, glutathione synthase, alpha-helical [Septoria linicola]",Septoria linicola,0.0,81.29,512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/USW51793.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""USW51793.1"")"



		


