Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
Ca2+/calmodulin-dependent protein kinase [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,2595,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003855861.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003855861.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,0.0,99.90,1865,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR43484.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMR43484.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,0.0,99.69,1114,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ44924.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMQ44924.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,0.0,99.58,1077,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR41282.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""SMR41282.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1A5],Zymoseptoria tritici ST99CH_1A5,0.0,99.58,1077,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMY18630.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""SMY18630.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,0.0,99.27,1077,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR43485.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""SMR43485.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1A5],Zymoseptoria tritici ST99CH_1A5,0.0,99.07,1860,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMY18629.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""SMY18629.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,0.0,98.96,1077,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ44926.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""SMQ44926.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,0.0,98.65,1862,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR41281.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""SMR41281.1"")"
hypothetical protein TI39_contig623g00015 [Zymoseptoria brevis],Zymoseptoria brevis,0.0,84.57,1608,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJX96478.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""KJX96478.1"")"



		


