Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein MYCGRDRAFT_65205 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,479,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003855984.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003855984.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,0.0,99.79,479,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR41572.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMR41572.1"")"
"related to aldehyde dehydrogenase (NAD+), mitochondrial [Ramularia collo-cygni]",Ramularia collo-cygni,0.0,80.17,479,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023624456.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""XP_023624456.1"")"
uncharacterized protein RHO25_008932 [Cercospora beticola],Cercospora beticola,0.0,80.38,479,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023460350.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""XP_023460350.1"")"
unnamed protein product [Cercospora beticola],Cercospora beticola,0.0,80.58,479,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAK1356897.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""CAK1356897.1"")"
uncharacterized protein CKM354_000540900 [Cercospora kikuchii],Cercospora kikuchii,0.0,80.38,479,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044656616.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""XP_044656616.1"")"
"Putative aldehyde dehydrogenase domain, aldehyde/histidinol dehydrogenase [Septoria linicola]",Septoria linicola,0.0,80.54,479,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/USW53787.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""USW53787.1"")"
hypothetical protein CBER1_05451 [Cercospora berteroae],Cercospora berteroae,0.0,79.75,479,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PPJ55160.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""PPJ55160.1"")"
"putative aldehyde dehydrogenase domain, aldehyde/histidinol dehydrogenase [Septoria linicola]",Septoria linicola,0.0,80.33,479,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI5359480.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""KAI5359480.1"")"
hypothetical protein CERZMDRAFT_120036 [Cercospora zeae-maydis SCOH1-5],Cercospora zeae-maydis SCOH1-5,0.0,78.50,479,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF2215707.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""KAF2215707.1"")"



		


