Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein MYCGRDRAFT_65563 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,1e-170,100.00,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003856099.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003856099.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,2e-169,99.15,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ45470.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMQ45470.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1A5],Zymoseptoria tritici ST99CH_1A5,9e-168,98.31,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMY19169.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMY19169.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,2e-140,97.56,311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR44012.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""SMR44012.1"")"
hypothetical protein TI39_contig844g00012 [Zymoseptoria brevis],Zymoseptoria brevis,1e-128,96.02,709,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJX96042.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""KJX96042.1"")"
uncharacterized protein CKM354_000594800 [Cercospora kikuchii],Cercospora kikuchii,5e-117,72.88,229,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044657176.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""XP_044657176.1"")"
hypothetical protein CBER1_06731 [Cercospora berteroae],Cercospora berteroae,3e-115,72.46,229,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PPJ61253.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""PPJ61253.1"")"
"related to 26S proteasome non-ATPase regulatory subunit Nas2, putative [Ramularia collo-cygni]",Ramularia collo-cygni,4e-114,70.69,231,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023628060.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""XP_023628060.1"")"
uncharacterized protein RHO25_008377 [Cercospora beticola],Cercospora beticola,5e-114,73.73,229,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023449838.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""XP_023449838.1"")"
hypothetical protein CERZMDRAFT_112458 [Cercospora zeae-maydis SCOH1-5],Cercospora zeae-maydis SCOH1-5,9e-114,72.46,229,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF2211763.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""KAF2211763.1"")"



		


