Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,0.0,100.00,314,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR59473.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""SMR59473.1"")"
uncharacterized protein MYCGRDRAFT_46279 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003849883.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""XP_003849883.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1A5],Zymoseptoria tritici ST99CH_1A5,0.0,98.33,314,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMY26668.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMY26668.1"")"
altered inheritance of mitochondria protein [Zymoseptoria brevis],Zymoseptoria brevis,0.0,97.33,314,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJY02125.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""KJY02125.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,0.0,96.33,314,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR56617.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""SMR56617.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,0.0,99.62,274,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ53034.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""SMQ53034.1"")"
uncharacterized protein RCC_07253 [Ramularia collo-cygni],Ramularia collo-cygni,1e-152,69.10,301,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023628279.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""XP_023628279.1"")"
hypothetical protein DOTSEDRAFT_131753 [Dothistroma septosporum NZE10],Dothistroma septosporum NZE10,6e-148,69.57,316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EME43704.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""EME43704.1"")"
PLC-like phosphodiesterase [Xylariales sp. AK1849],Xylariales sp. AK1849,1e-147,67.11,311,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI0125366.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""KAI0125366.1"")"
hypothetical protein F5Y16DRAFT_382515 [Xylariaceae sp. FL0255],Xylariaceae sp. FL0255,1e-146,69.83,339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI1323874.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""KAI1323874.1"")"



		


