Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein MYCGRDRAFT_88622 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,317,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003857790.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003857790.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,0.0,96.83,317,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ44900.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMQ44900.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,2e-90,100.00,132,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR41261.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMR41261.1"")"
uncharacterized protein MYCGRDRAFT_88629 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,2e-63,39.94,333,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003857787.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""XP_003857787.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,5e-63,39.94,333,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR43466.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""SMR43466.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,5e-63,39.94,333,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR41266.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""SMR41266.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,2e-62,39.62,333,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ44905.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""SMQ44905.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1A5],Zymoseptoria tritici ST99CH_1A5,8e-51,40.38,366,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMY18613.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""SMY18613.1"")"
uncharacterized protein MYCGRDRAFT_88630 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,1e-50,40.38,281,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003857786.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""XP_003857786.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,4e-50,43.56,299,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR43465.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""SMR43465.1"")"



		


