Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein MYCGRDRAFT_92832 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,2e-128,100.00,179,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003853251.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003853251.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,1e-126,99.44,179,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR51263.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMR51263.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1A5],Zymoseptoria tritici ST99CH_1A5,1e-125,98.88,179,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMY23956.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMY23956.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,5e-125,98.32,179,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ50286.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""SMQ50286.1"")"



		


