Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein MYCGRDRAFT_41214 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003853252.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003853252.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1A5],Zymoseptoria tritici ST99CH_1A5,0.0,97.70,478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMY23955.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMY23955.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,0.0,93.96,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR51262.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMR51262.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,0.0,93.12,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ50285.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""SMQ50285.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,0.0,86.04,507,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR52333.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""SMR52333.1"")"
related to permease of the major facilitator superfamily [Ramularia collo-cygni],Ramularia collo-cygni,0.0,76.97,482,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023627861.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""XP_023627861.1"")"
uncharacterized protein MYCFIDRAFT_199896 [Pseudocercospora fijiensis CIRAD86],Pseudocercospora fijiensis CIRAD86,0.0,70.08,495,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007931058.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""XP_007931058.1"")"
hypothetical protein AC579_6307 [Pseudocercospora musae],Pseudocercospora musae,0.0,70.70,487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KXT16576.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""KXT16576.1"")"
hypothetical protein CBER1_03121 [Cercospora berteroae],Cercospora berteroae,0.0,73.75,479,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PPJ60117.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""PPJ60117.1"")"
uncharacterized protein RHO25_006707 [Cercospora beticola],Cercospora beticola,0.0,73.80,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023452166.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""XP_023452166.1"")"



		


