Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein MYCGRDRAFT_104294 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,2e-147,100.00,205,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003853131.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003853131.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,8e-147,99.51,205,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR52331.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMR52331.1"")"
minor allergen alt a 7 like protein [Zymoseptoria brevis],Zymoseptoria brevis,3e-145,98.05,205,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJX98739.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""KJX98739.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,7e-145,99.01,275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ50284.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""SMQ50284.1"")"
flavodoxin-like fold protein [Neofusicoccum ribis],Neofusicoccum ribis,5e-125,83.90,205,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL1635553.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""KAL1635553.1"")"
putative minor allergen alt a 7 protein [Neofusicoccum parvum UCRNP2],Neofusicoccum parvum UCRNP2,9e-124,82.93,205,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EOD49027.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""EOD49027.1"")"
Minor allergen Alt A 7 protein [Lasiodiplodia theobromae],Lasiodiplodia theobromae,1e-123,84.39,205,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035367058.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""XP_035367058.1"")"
putative minor allergen alt a 7 protein [Neofusicoccum parvum],Neofusicoccum parvum,1e-123,82.93,205,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GME22258.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""GME22258.1"")"
minor allergen alt a 7 [Diplodia corticola],Diplodia corticola,2e-123,83.41,205,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_020125703.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""XP_020125703.1"")"
uncharacterized protein MYCFIDRAFT_71957 [Pseudocercospora fijiensis CIRAD86],Pseudocercospora fijiensis CIRAD86,2e-123,84.39,205,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007929807.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""XP_007929807.1"")"



		


