Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein MYCGRDRAFT_50095 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,1037,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003848603.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003848603.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,0.0,99.52,1037,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR60469.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMR60469.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,0.0,99.23,1037,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR63582.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMR63582.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1A5],Zymoseptoria tritici ST99CH_1A5,0.0,98.75,1037,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMY28948.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""SMY28948.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,0.0,98.84,1037,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ55260.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""SMQ55260.1"")"
ochratoxin A non-ribosomal peptide synthetase like protein [Zymoseptoria brevis],Zymoseptoria brevis,0.0,96.91,1036,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJY00327.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""KJY00327.1"")"
uncharacterized protein CKM354_001129400 [Cercospora kikuchii],Cercospora kikuchii,0.0,55.45,1042,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044662713.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""XP_044662713.1"")"
Non-canonical non-ribosomal peptide synthetase FUB8 [Pseudocercospora fuligena],Pseudocercospora fuligena,0.0,56.66,1043,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF7192480.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""KAF7192480.1"")"
uncharacterized protein RHO25_011404 [Cercospora beticola],Cercospora beticola,0.0,54.78,1045,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023454506.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""XP_023454506.1"")"
unnamed protein product [Cercospora beticola],Cercospora beticola,0.0,52.94,1053,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAK1358177.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""CAK1358177.1"")"



		


