Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
ferric reductase-like transmembrane component [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,366,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003857665.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003857665.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,0.0,92.05,567,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR41574.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMR41574.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1A5],Zymoseptoria tritici ST99CH_1A5,0.0,91.54,567,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMY18926.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMY18926.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,0.0,90.00,567,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ45211.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""SMQ45211.1"")"
ferric reductase like transmembrane component like protein [Zymoseptoria brevis],Zymoseptoria brevis,0.0,88.21,567,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJX96573.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""KJX96573.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,0.0,89.74,567,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR43766.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""SMR43766.1"")"
uncharacterized protein RCC_03361 [Ramularia collo-cygni],Ramularia collo-cygni,1e-142,51.86,592,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023624419.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""XP_023624419.1"")"
Ferric reductase transmembrane component 3 [Lecanosticta acicola],Lecanosticta acicola,1e-140,54.32,602,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAK3757232.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""CAK3757232.1"")"
uncharacterized protein M409DRAFT_57217 [Zasmidium cellare ATCC 36951],Zasmidium cellare ATCC 36951,3e-139,53.91,563,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033664611.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""XP_033664611.1"")"
hypothetical protein PRZ48_004676 [Zasmidium cellare],Zasmidium cellare,1e-137,52.81,561,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK4503761.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""KAK4503761.1"")"



		


