Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein MYCGRDRAFT_74460 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,310,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003849921.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003849921.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1A5],Zymoseptoria tritici ST99CH_1A5,0.0,98.71,310,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMY26751.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMY26751.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,0.0,99.03,310,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ53120.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMQ53120.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,0.0,98.71,310,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR56706.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""SMR56706.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,0.0,98.06,310,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR59551.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""SMR59551.1"")"
mitochondrial 54S ribosomal protein MRPL1 [Zymoseptoria brevis],Zymoseptoria brevis,0.0,96.45,310,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJX92151.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""KJX92151.1"")"
hypothetical protein CBER1_07084 [Cercospora berteroae],Cercospora berteroae,6e-157,72.64,309,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PPJ50886.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""PPJ50886.1"")"
mitochondrial 54S ribosomal protein uL1m [Cercospora beticola],Cercospora beticola,1e-156,72.64,309,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023451192.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""XP_023451192.1"")"
unnamed protein product [Cercospora beticola],Cercospora beticola,2e-156,72.64,309,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAK1366058.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""CAK1366058.1"")"
putative ribosomal protein L1 [Septoria linicola],Septoria linicola,1e-154,70.68,308,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI5364839.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""KAI5364839.1"")"



		


