Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein MYCGRDRAFT_95893 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,830,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003849496.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003849496.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,0.0,91.72,447,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR58696.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMR58696.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,0.0,91.50,447,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ54269.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMQ54269.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,0.0,88.37,447,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR61695.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""SMR61695.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,0.0,100.00,375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR61694.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""SMR61694.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1A5],Zymoseptoria tritici ST99CH_1A5,0.0,99.73,375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMY27906.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""SMY27906.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,0.0,99.46,375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR58695.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""SMR58695.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,0.0,98.66,375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ54268.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""SMQ54268.1"")"
hypothetical protein TI39_contig553g00009 [Zymoseptoria brevis],Zymoseptoria brevis,0.0,81.42,452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJX97130.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""KJX97130.1"")"
hypothetical protein TI39_contig553g00008 [Zymoseptoria brevis],Zymoseptoria brevis,0.0,91.40,375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJX97131.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""KJX97131.1"")"



		


