Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein MYCGRDRAFT_94965 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,545,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003850493.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003850493.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,0.0,97.06,545,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR56704.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMR56704.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1A5],Zymoseptoria tritici ST99CH_1A5,0.0,96.88,545,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMY26749.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMY26749.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,0.0,96.75,493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR59549.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""SMR59549.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,0.0,96.55,493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ53118.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""SMQ53118.1"")"
hypothetical protein TI39_contig5905g00005 [Zymoseptoria brevis],Zymoseptoria brevis,0.0,58.62,509,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJX92153.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""KJX92153.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,2e-104,41.21,524,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR56703.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""SMR56703.1"")"
hypothetical protein TI39_contig5905g00004 [Zymoseptoria brevis],Zymoseptoria brevis,3e-94,38.51,615,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJX92152.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""KJX92152.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,7e-77,44.94,350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ53117.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""SMQ53117.1"")"
hypothetical protein LTR08_006113 [Meristemomyces frigidus],Meristemomyces frigidus,2e-72,36.19,431,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK5134738.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""KAK5134738.1"")"



		


