Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,0.0,100.00,511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ54270.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""SMQ54270.1"")"
MFS transporter like protein [Zymoseptoria brevis],Zymoseptoria brevis,0.0,99.79,511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJX97136.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""KJX97136.1"")"
uncharacterized protein MYCGRDRAFT_47943 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003849497.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""XP_003849497.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,0.0,99.58,511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR58697.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""SMR58697.1"")"
related to allantoate permease [Ramularia collo-cygni],Ramularia collo-cygni,0.0,82.22,510,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023631918.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""XP_023631918.1"")"
"putative major facilitator superfamily, MFS transporter superfamily [Septoria linicola]",Septoria linicola,0.0,80.42,507,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI5362879.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""KAI5362879.1"")"
MFS general substrate transporter [Sphaerulina musiva SO2202],Sphaerulina musiva SO2202,0.0,79.38,506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016757737.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""XP_016757737.1"")"
hypothetical protein CBER1_03885 [Cercospora berteroae],Cercospora berteroae,0.0,80.04,507,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PPJ56559.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""PPJ56559.1"")"
hypothetical protein CERZMDRAFT_119765 [Cercospora zeae-maydis SCOH1-5],Cercospora zeae-maydis SCOH1-5,0.0,79.79,489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF2217201.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""KAF2217201.1"")"
putative transporter [Pseudocercospora fuligena],Pseudocercospora fuligena,0.0,79.21,506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF7194143.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""KAF7194143.1"")"



		


