Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein MYCGRDRAFT_108445 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,516,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003853677.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003853677.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1A5],Zymoseptoria tritici ST99CH_1A5,0.0,100.00,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMY22165.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMY22165.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,0.0,99.40,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ48469.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMQ48469.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,0.0,98.99,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR49467.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""SMR49467.1"")"
betaine aldehyde dehydrogenase like protein [Zymoseptoria brevis],Zymoseptoria brevis,0.0,96.57,512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJY00690.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""KJY00690.1"")"
probable aldehyde dehydrogenase A [Ramularia collo-cygni],Ramularia collo-cygni,0.0,80.65,503,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023622888.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""XP_023622888.1"")"
NAD NADP-dependent betaine aldehyde dehydrogenase [Lecanosticta acicola],Lecanosticta acicola,0.0,79.64,503,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAK3919003.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""CAK3919003.1"")"
uncharacterized protein CKM354_000907900 [Cercospora kikuchii],Cercospora kikuchii,0.0,79.23,500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044660420.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""XP_044660420.1"")"
hypothetical protein CBER1_03163 [Cercospora berteroae],Cercospora berteroae,0.0,78.63,500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PPJ60469.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""PPJ60469.1"")"
uncharacterized protein RHO25_003867 [Cercospora beticola],Cercospora beticola,0.0,78.23,500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023456295.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""XP_023456295.1"")"



		


