Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein MYCGRDRAFT_106743 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003855847.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003855847.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1A5],Zymoseptoria tritici ST99CH_1A5,0.0,99.61,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMY18606.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMY18606.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,0.0,99.61,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR43460.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMR43460.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,2e-167,89.49,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ44899.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""SMQ44899.1"")"
hypothetical protein TI39_contig482g00009 [Zymoseptoria brevis],Zymoseptoria brevis,1e-113,80.98,382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJX97521.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""KJX97521.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,7e-46,40.27,235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ44897.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""SMQ44897.1"")"
uncharacterized protein CKM354_000515600 [Cercospora kikuchii],Cercospora kikuchii,3e-37,40.64,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044656354.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""XP_044656354.1"")"
hypothetical protein CB0940_07428 [Cercospora beticola],Cercospora beticola,8e-37,41.10,236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PIA89488.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""PIA89488.1"")"
uncharacterized protein RHO25_008015 [Cercospora beticola],Cercospora beticola,4e-30,40.98,598,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023449654.2?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""XP_023449654.2"")"
uncharacterized protein MYCGRDRAFT_88619 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,2e-26,40.27,174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003855846.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""XP_003855846.1"")"



		


