Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein MYCGRDRAFT_88620 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,1e-99,100.00,147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003857791.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003857791.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,4e-99,99.32,147,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR43459.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMR43459.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,3e-82,88.44,176,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ44898.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMQ44898.1"")"
hypothetical protein TI39_contig482g00010 [Zymoseptoria brevis],Zymoseptoria brevis,8e-11,69.77,324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJX97519.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""KJX97519.1"")"



		


