Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein MYCGRDRAFT_89073 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,357,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003857550.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003857550.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1A5],Zymoseptoria tritici ST99CH_1A5,0.0,99.44,357,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMY19167.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMY19167.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,0.0,97.76,357,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR44010.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMR44010.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,0.0,97.48,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ45472.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""SMQ45472.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,0.0,96.92,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR41821.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""SMR41821.1"")"
short-chain dehydrogenase/reductase family protein [Zymoseptoria brevis],Zymoseptoria brevis,0.0,96.90,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJX96036.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""KJX96036.1"")"
hypothetical protein AC578_8347 [Pseudocercospora eumusae],Pseudocercospora eumusae,0.0,70.69,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KXT05166.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""KXT05166.1"")"
putative oxidoreductase [Pseudocercospora fuligena],Pseudocercospora fuligena,0.0,70.98,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF7188001.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""KAF7188001.1"")"
uncharacterized protein M409DRAFT_65086 [Zasmidium cellare ATCC 36951],Zasmidium cellare ATCC 36951,0.0,69.74,357,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033670302.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""XP_033670302.1"")"
"Putative short-chain dehydrogenase/reductase SDR, NAD(P)-binding domain superfamily [Septoria linicola]",Septoria linicola,3e-180,72.62,358,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/USW53589.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""USW53589.1"")"



		


