Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
SUR1-like protein [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003849882.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003849882.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,0.0,99.71,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ53033.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMQ53033.1"")"
mannosyl phosphorylinositol ceramide synthase SUR1 like protein [Zymoseptoria brevis],Zymoseptoria brevis,0.0,95.95,346,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJY02127.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""KJY02127.1"")"
related to CSH1 Probable catalytic subunit of a mannosylinositol phosphorylceramide (MIPC) synthase [Ramularia collo-cygni],Ramularia collo-cygni,0.0,76.16,389,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023628278.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""XP_023628278.1"")"
glycosyltransferase family 32 [Lecanosticta acicola],Lecanosticta acicola,0.0,69.68,341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAK4030991.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""CAK4030991.1"")"
glycosyltransferase family 32 protein [Pseudocercospora fijiensis CIRAD86],Pseudocercospora fijiensis CIRAD86,0.0,70.26,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007927491.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""XP_007927491.1"")"
hypothetical protein AC579_4803 [Pseudocercospora musae],Pseudocercospora musae,2e-180,69.68,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KXT14444.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""KXT14444.1"")"
Mannosyl phosphorylinositol ceramide synthase SUR1 [Pseudocercospora fuligena],Pseudocercospora fuligena,4e-180,69.39,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF7194190.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""KAF7194190.1"")"
glycosyltransferase family 32 protein [Zasmidium cellare ATCC 36951],Zasmidium cellare ATCC 36951,7e-180,68.12,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033671924.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""XP_033671924.1"")"
hypothetical protein CBER1_06889 [Cercospora berteroae],Cercospora berteroae,8e-177,68.51,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PPJ59373.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""PPJ59373.1"")"



		


