Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
polyketide synthase [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,2622,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003847731.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003847731.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,0.0,98.78,2626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR64555.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMR64555.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1A5],Zymoseptoria tritici ST99CH_1A5,0.0,98.86,2626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMY29896.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMY29896.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,0.0,98.78,2626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ56221.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""SMQ56221.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,0.0,98.28,2626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR62063.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""SMR62063.1"")"
hypothetical protein TI39_contig360g00003 [Zymoseptoria brevis],Zymoseptoria brevis,0.0,95.80,3486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJX99384.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""KJX99384.1"")"
polyketide synthase PKS2 [Curvularia clavata],Curvularia clavata,0.0,59.65,2642,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/USP81656.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""USP81656.1"")"
iterative type I polyketide synthase [Acrodontium crateriforme],Acrodontium crateriforme,0.0,58.85,2670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WPH00651.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""WPH00651.1"")"
polyketide synthase PKS2 [Bipolaris sorokiniana ND90Pr],Bipolaris sorokiniana ND90Pr,0.0,58.73,2638,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007702439.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""XP_007702439.1"")"
hypothetical protein BM1_03852 [Bipolaris maydis],Bipolaris maydis,0.0,58.72,2639,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH7560218.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""KAH7560218.1"")"



		


