Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein MYCGRDRAFT_98331 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,746,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003857549.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003857549.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,0.0,99.60,746,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR41822.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMR41822.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,0.0,99.60,746,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ45471.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMQ45471.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1A5],Zymoseptoria tritici ST99CH_1A5,0.0,99.46,746,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMY19168.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""SMY19168.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,0.0,98.26,746,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR44011.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""SMR44011.1"")"
catalase like protein [Zymoseptoria brevis],Zymoseptoria brevis,0.0,97.86,746,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJX96041.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""KJX96041.1"")"
CAT2 catalase [Fulvia fulva],Fulvia fulva,0.0,80.11,745,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAG53519.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""AAG53519.1"")"
Catalase-1 [Fulvia fulva],Fulvia fulva,0.0,80.11,786,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047761393.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""XP_047761393.1"")"
hypothetical protein PRZ48_004850 [Zasmidium cellare],Zasmidium cellare,0.0,79.54,744,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK4503935.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""KAK4503935.1"")"
hypothetical protein CERZMDRAFT_68474 [Cercospora zeae-maydis SCOH1-5],Cercospora zeae-maydis SCOH1-5,0.0,80.86,748,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF2211764.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""KAF2211764.1"")"



		


