Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
putative ABC transporter [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,833,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003855985.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003855985.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,0.0,99.88,833,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR41573.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMR41573.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D7],Zymoseptoria tritici ST99CH_3D7,0.0,99.64,833,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMQ45210.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMQ45210.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,0.0,99.52,833,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR43765.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""SMR43765.1"")"
peroxisomal ABC transporter like protein [Zymoseptoria brevis],Zymoseptoria brevis,0.0,99.28,828,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJX96607.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""KJX96607.1"")"
ATP-binding cassette sub-family D member 2 [Lecanosticta acicola],Lecanosticta acicola,0.0,81.60,826,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAK3945814.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""CAK3945814.1"")"
"probable peroxisomal long-chain acyl-CoA transporter, ABC superfamily [Ramularia collo-cygni]",Ramularia collo-cygni,0.0,83.68,827,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023631998.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""XP_023631998.1"")"
uncharacterized protein M409DRAFT_19696 [Zasmidium cellare ATCC 36951],Zasmidium cellare ATCC 36951,0.0,80.80,826,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033670978.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""XP_033670978.1"")"
Peroxisomal long-chain fatty acid import protein 2 [Fulvia fulva],Fulvia fulva,0.0,80.85,832,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047760736.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""XP_047760736.1"")"
"ABC transporter, ABC-D family, PMP type [Pseudocercospora fijiensis CIRAD86]",Pseudocercospora fijiensis CIRAD86,0.0,79.19,835,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_007925911.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""XP_007925911.1"")"



		


