Description,Scientific Name,E value,Per. ident,Acc. Len,Accession  
uncharacterized protein MYCGRDRAFT_46958 [Zymoseptoria tritici IPO323],Zymoseptoria tritici IPO323,0.0,100.00,444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003850534.1?report=genbank&log$=prottop&blast_rank=1&RID=U9E3TJEZ013"",""XP_003850534.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1E4],Zymoseptoria tritici ST99CH_1E4,0.0,99.55,452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR56618.1?report=genbank&log$=prottop&blast_rank=2&RID=U9E3TJEZ013"",""SMR56618.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_1A5],Zymoseptoria tritici ST99CH_1A5,0.0,99.55,452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMY26669.1?report=genbank&log$=prottop&blast_rank=3&RID=U9E3TJEZ013"",""SMY26669.1"")"
unnamed protein product [Zymoseptoria tritici ST99CH_3D1],Zymoseptoria tritici ST99CH_3D1,0.0,95.50,452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SMR59474.1?report=genbank&log$=prottop&blast_rank=4&RID=U9E3TJEZ013"",""SMR59474.1"")"
tRNA-guanine transglycosylase family protein [Zymoseptoria brevis],Zymoseptoria brevis,0.0,92.12,469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KJY02126.1?report=genbank&log$=prottop&blast_rank=5&RID=U9E3TJEZ013"",""KJY02126.1"")"
related to tRNA-guanine transglycosylase family protein [Ramularia collo-cygni],Ramularia collo-cygni,0.0,64.06,472,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_023628280.1?report=genbank&log$=prottop&blast_rank=6&RID=U9E3TJEZ013"",""XP_023628280.1"")"
hypothetical protein PRZ48_007852 [Zasmidium cellare],Zasmidium cellare,0.0,61.92,472,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK4502041.1?report=genbank&log$=prottop&blast_rank=7&RID=U9E3TJEZ013"",""KAK4502041.1"")"
Queuine tRNA-ribosyltransferase accessory subunit 2 [Pseudocercospora fuligena],Pseudocercospora fuligena,0.0,59.69,481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF7192613.1?report=genbank&log$=prottop&blast_rank=8&RID=U9E3TJEZ013"",""KAF7192613.1"")"
hypothetical protein AC578_2528 [Pseudocercospora eumusae],Pseudocercospora eumusae,0.0,60.79,549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KXS93929.1?report=genbank&log$=prottop&blast_rank=9&RID=U9E3TJEZ013"",""KXS93929.1"")"
uncharacterized protein M409DRAFT_62399 [Zasmidium cellare ATCC 36951],Zasmidium cellare ATCC 36951,0.0,62.24,484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033673532.1?report=genbank&log$=prottop&blast_rank=10&RID=U9E3TJEZ013"",""XP_033673532.1"")"



		


